,GEOID,population,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,eviction-rate,score,raw_score,percentage_vacant_housing_units,percent_college_educated,snaps_percentage,percent_poverty,rent_to_income_ratio,unemployment_rate
8617,391559315003,1604.0,14.99,,60761.0,139100.0,18.8,1.54,B,0.780,9.63541666666667,24.1922773837667,3.45821325648415,,,3.2
8618,391559316011,1529.0,17.4,678.0,34222.0,84000.0,38.8,0.73,C,0.367,9.42928039702233,15.1387720773759,10.5479452054795,,14.2013909181228,1.4
8619,391559316012,1664.0,50.38,548.0,32385.0,86600.0,29.0,2.18,C,0.507,0.0,22.8523769808174,10.6175514626219,,18.4529874942103,1.4
8620,391559316013,1146.0,13.97,683.0,41373.0,83000.0,12.1,0.79,C,0.366,0.0,16.8604651162791,14.2156862745098,,14.1541585091726,1.4
8621,391559316021,699.0,28.23,824.0,67000.0,118600.0,20.0,1.35,B,0.663,0.0,16.3179916317992,0.0,,9.54626865671642,4.5
8622,391559316022,914.0,44.25,745.0,31655.0,103800.0,42.8,0.0,C,0.405,7.95755968169761,17.7238805970149,22.1238938053097,,20.0157952930027,4.5
8623,391559316023,595.0,34.36,634.0,44271.0,96700.0,26.1,0.0,C,0.421,0.0,21.6796875,6.52920962199313,,15.8026699193603,4.5
8624,391559316024,987.0,4.1,,61016.0,123800.0,,2.33,B,0.814,4.97835497835498,34.0852130325814,4.1002277904328,,,4.5
8625,391559317001,801.0,23.45,755.0,45000.0,87300.0,32.2,3.45,C,0.458,8.29015544041451,16.4154103852596,8.75706214689266,,14.48,12.1
8626,391559317002,1214.0,10.66,746.0,29519.0,64100.0,24.1,2.63,D,0.297,11.5658362989324,9.78670012547051,11.4688128772636,,17.6835258646973,12.1
8627,391559319001,1293.0,41.26,537.0,38098.0,101700.0,45.6,1.96,C,0.409,9.66257668711656,15.4394299287411,10.5263157894737,,15.5598719092866,4.5
8628,391559319002,812.0,7.02,,53398.0,107600.0,,4.44,B,0.657,0.0,31.2865497076023,11.138014527845,,,4.5
8629,391559319003,789.0,76.1,609.0,35476.0,,23.1,7.23,D,0.195,21.7204301075269,8.47145488029466,31.8681318681319,,17.0481452249408,4.5
